Depth,GR,RHOB,Vel
1600.08,59.07,2.34,2688
1600.24,58.23,2.345,2655
1600.39,58.23,2.357,2579
1600.54,58.23,2.328,2457
1600.69,58.23,2.3,2377
1600.85,59.91,2.278,2341
1601,62.45,2.216,2854
1601.15,60.76,2.182,3747
1601.3,56.54,2.165,3981
1601.46,56.54,2.289,4014
1601.61,56.54,2.407,3776
1601.76,58.23,2.452,3495
1601.91,59.91,2.396,3180
1602.07,62.45,2.362,3011
1602.22,62.45,2.3,2948
1602.37,62.45,2.3,2997
1602.52,59.07,2.278,3029
1602.68,56.54,2.255,2992
1602.83,56.54,2.193,2952
1602.98,56.54,2.137,2917
1603.13,58.23,2.114,2934
1603.29,59.07,2.137,2974
1603.44,59.91,2.182,3024
1603.59,60.76,2.261,3043
1603.74,60.76,2.312,3010
1603.89,60.76,2.334,2987
1604.05,61.6,2.328,2961
1604.2,62.45,2.306,2956
1604.35,67.52,2.317,2978
1604.5,69.21,2.328,2992
1604.66,71.74,2.334,3001
1604.81,71.74,2.334,3010
1604.96,71.74,2.334,3010
1605.11,71.74,2.345,3010
1605.27,71.74,2.351,3014
1605.42,70.05,2.351,3014
1605.57,66.67,2.34,3019
1605.72,66.67,2.334,3023
1605.88,66.67,2.334,3023
1606.03,66.67,2.334,3023
1606.18,66.67,2.345,3028
1606.33,65.83,2.357,3030
1606.49,64.98,2.368,3042
1606.64,63.22,2.368,3044
1606.79,61.16,2.34,3046
1606.94,59.07,2.34,3046
1607.1,59.07,2.357,3051
1607.25,59.07,2.362,3051
1607.4,59.07,2.362,3060
1607.55,62.45,2.362,3060
1607.7,64.14,2.374,3060
1607.86,64.14,2.385,3060
1608.01,64.14,2.39,3055
1608.16,64.14,2.39,3051
1608.31,64.14,2.39,3051
1608.47,65.83,2.396,3046
1608.62,68.36,2.396,3032
1608.77,69.21,2.396,3032
1608.92,71.74,2.396,3032
1609.08,71.74,2.396,3041
1609.23,72.59,2.413,3060
1609.38,73.43,2.441,3079
1609.53,74.28,2.435,3088
1609.69,74.28,2.402,3031
1609.84,74.28,2.396,3031
1609.99,73.43,2.396,3093
1610.14,70.05,2.407,3272
1610.3,67.49,2.43,3384
1610.45,60.97,2.441,3431
1610.6,56.86,2.435,3396
1610.75,57.42,2.432,3240
1610.91,60.79,2.434,3127
1611.06,63.87,2.406,3088
1611.21,65.74,2.373,3107
1611.36,69.72,2.354,3157
1611.51,73.39,2.361,3102
1611.67,76.81,2.393,2994
1611.82,79.6,2.412,2889
1611.97,82.17,2.42,2815
1612.12,82.65,2.414,2868
1612.28,80.3,2.413,2839
1612.43,77.49,2.411,2807
1612.58,77.83,2.404,2855
1612.73,80.57,2.406,2768
1612.89,82.86,2.394,2803
1613.04,82.62,2.376,2815
1613.19,80.27,2.376,2775
1613.34,78.88,2.386,2855
1613.5,78.92,2.388,2918
1613.65,79.38,2.382,2936
1613.8,78.99,2.384,2918
1613.95,77.04,2.382,2901
1614.11,77.54,2.394,2863
1614.26,79.51,2.414,2831
1614.41,79.51,2.418,2888
1614.56,78.83,2.418,2814
1614.72,79.65,2.418,2834
1614.87,81.63,2.416,2901
1615.02,82.03,2.413,2892
1615.17,80.45,2.408,2838
1615.32,81.33,2.414,2814
1615.48,83.15,2.424,2851
1615.63,82.29,2.422,2782
1615.78,80.46,2.421,2851
1615.93,81.15,2.416,2822
1616.09,84.08,2.405,2818
1616.24,86.54,2.404,2806
1616.39,88.26,2.414,2767
1616.54,88.07,2.431,2710
1616.7,84.12,2.427,2736
1616.85,77.94,2.413,2798
1617,74.16,2.398,2751
